////////////////////////////////////////
///////////             ////////////////
///////////  Monsters   ////////////////
///////////             ////////////////
////////////////////////////////////////

//Aracnorb
aracnorb/sight		dsaracst
aracnorb/death		dsaracdt
aracnorb/melee		dsaracml

//Blood demon
blooddemon/sight DSBLDSIT
blooddemon/pain DSBLDPAI
blooddemon/death DSBLDDTH
blooddemon/active DSBLDACT
blooddemon/melee DSBLDATK
blooddemon/walk DSBLDWAL

//Poison soul
torturedsoul/poison dstrtpsn

// Hellion
monster/hlnsit                  dshlnsit
monster/hlnact                  dshlnact
monster/hlnpai                  dshlnpai
monster/hlndth                  dshlndth
monster/hlnatk                  dshlnatk
monster/hlnexp                  dshlnexp

// Minigunner
miniguner/attack MINIGUNR

//Catharsi
catharsi/sit DSSLSIT
catharsi/death DSSLDETH
catharsi/pain DSSLPAIN
catharsi/shotsit DSSLSHOT
catharsi/shotdth DSSLSHDT
catharsi/thermdth DSSLTHMP
catharsi/thermtick DSSLTHTI

// Archon of hell
monster/ar2sit dsar2sit

monster/ar2dth dsar2dth

weapons/firbfi dsfirbfi
weapons/hellex dshellex

// Annihilator
monster/annsit dsannsit

monster/anndth dsanndth

monster/anhoof dsanhoof


weapons/hrlexp dshrlexp
weapons/hrlfir dshrlfir

// Thamuz
Apocalypse/cast			apocast

Thamuz/Attack			nakrula2
Thamuz/death			nakruld2
Thamuz/Pain				nakrulh2
$random Thamuz/Idlesight	{ Thamuz/Idle1 Thamuz/Idle2 }
Thamuz/Idle1			nakruls1
Thamuz/Idle2			nakruls2
Thamuz/death2			megad1

q2weapon/bfgball			bfg_fire
q2weapon/bfgballexplo		bfg__x1b
q2weapon/rocketlauncherfire	rocklf1a
q2weapon/rocketexplo		q2roklx1
h2necromancer/magiccast		h2ncmagh
comet/explosion			cometexp

// Helemental
monster/hadsit                dshadsit
monster/haddth                dshaddth
monster/hadexp                dshadexp
monster/hadtel                dshadtel
monster/hadwlk                dshadwlk
monster/helsit                dshelsit
monster/helac1                dshelac1
monster/helac2                dshelac2
$random monster/helact 	      { monster/helac1 monster/helac2 }
monster/helpai                dshelpai
monster/heldth                dsheldth
monster/heltel                dsheltel
caco/melee                    dsdembit

// Wicked
monster/wiksit                  dswiksit
$random monster/wikact		{ monster/wikac1    monster/wikac2 }
monster/wikac1                  dswikac1
monster/wikac2                  dswikac2
monster/wikatk                  dswikatk
monster/wikpai                  dswikpai
monster/wikdth                  dswikdth
weapons/firmfi                  dsfirmfi
weapons/firex5                  dsfirex5
monster/tenpn1                  dstenpn1
monster/tenpn2                  dstenpn2

// Diabloist
monster/diasit dsdiasit
monster/diapai dsdiapai
monster/diadth dsdiadth
monster/diaact dsdiaact
weapons/firbfi dsfirbfi
weapons/firmfi dsfirmfi
weapons/firex4 dsfirex4
weapons/diasht dsdiasht
weapons/firex3 dsfirex3

ClericFlameFire         dshellfi
ClericFlameExplode      dshellex
ClericFlameCircle       dsfirex5

//NIGHTMARE DEMON
nightmareDemon/sight dsndmsit
nightmareDemon/melee dsndmatk
nightmareDemon/pain dsndmow
nightmareDemon/death dsndmdth

64ball/shoot dsndmsht
64ball/explode dsndmxpl

//ENHANCED CACODEMON
neodarkimp/sight1			dsimpsi1
neodarkimp/sight2			dsimpsi2
$random neodarkimp/sight		{ neodarkimp/sight1  neodarkimp/sight2 }
neodarkimp/active			dsimpact
neodarkimp/pain			        dsimppai
neodarkimp/melee			dsimpclw
neodarkimp/death1			dsimpdt1
neodarkimp/death2			dsimpdt2
$random neodarkimp/death		{ neodarkimp/death1  neodarkimp/death2 }
neodarkimp/attack			dsimpsht
